,metric,yliopisto,tilastovuosi,Keskiarvo
0,Career benefit,Aalto-yliopisto,2017,4.6
1,Learning & thinking skills,Aalto-yliopisto,2017,4.8
2,Career benefit,Aalto-yliopisto,2017,4.1
3,Learning & thinking skills,Aalto-yliopisto,2017,4.6
4,Job challenge,Aalto-yliopisto,2017,4.9
5,Career benefit,Aalto-yliopisto,2017,4.7
6,Learning & thinking skills,Aalto-yliopisto,2017,4.9
7,Interdisciplinary capability,Aalto-yliopisto,2017,3.1
8,Self-directedness,Aalto-yliopisto,2017,4.5
9,Entrepreneurship,Aalto-yliopisto,2017,2.1
10,Career benefit,Helsingin yliopisto,2017,4.6
11,Learning & thinking skills,Helsingin yliopisto,2017,4.8
12,Career benefit,Helsingin yliopisto,2017,3.9
13,Learning & thinking skills,Helsingin yliopisto,2017,4.7
14,Job challenge,Helsingin yliopisto,2017,4.7
15,Career benefit,Helsingin yliopisto,2017,4.5
16,Learning & thinking skills,Helsingin yliopisto,2017,4.8
17,Interdisciplinary capability,Helsingin yliopisto,2017,3.0
18,Self-directedness,Helsingin yliopisto,2017,4.5
19,Entrepreneurship,Helsingin yliopisto,2017,1.7
20,Career benefit,Helsingin yliopisto,2017,4.5
21,Learning & thinking skills,Helsingin yliopisto,2017,4.6
22,Career benefit,Helsingin yliopisto,2017,4.0
23,Learning & thinking skills,Helsingin yliopisto,2017,4.8
24,Job challenge,Helsingin yliopisto,2017,4.6
25,Career benefit,Helsingin yliopisto,2017,4.5
26,Learning & thinking skills,Helsingin yliopisto,2017,4.7
27,Interdisciplinary capability,Helsingin yliopisto,2017,3.0
28,Self-directedness,Helsingin yliopisto,2017,4.4
29,Entrepreneurship,Helsingin yliopisto,2017,1.8
30,Career benefit,Jyväskylän yliopisto,2017,4.5
31,Learning & thinking skills,Jyväskylän yliopisto,2017,4.6
32,Career benefit,Jyväskylän yliopisto,2017,3.9
33,Learning & thinking skills,Jyväskylän yliopisto,2017,4.7
34,Job challenge,Jyväskylän yliopisto,2017,4.6
35,Career benefit,Jyväskylän yliopisto,2017,4.5
36,Learning & thinking skills,Jyväskylän yliopisto,2017,4.7
37,Interdisciplinary capability,Jyväskylän yliopisto,2017,3.1
38,Self-directedness,Jyväskylän yliopisto,2017,4.7
39,Entrepreneurship,Jyväskylän yliopisto,2017,1.9
40,Career benefit,Lapin yliopisto,2017,4.7
41,Learning & thinking skills,Lapin yliopisto,2017,4.4
42,Career benefit,Lapin yliopisto,2017,3.9
43,Learning & thinking skills,Lapin yliopisto,2017,4.6
44,Job challenge,Lapin yliopisto,2017,4.7
45,Career benefit,Lapin yliopisto,2017,4.5
46,Learning & thinking skills,Lapin yliopisto,2017,4.6
47,Interdisciplinary capability,Lapin yliopisto,2017,2.9
48,Self-directedness,Lapin yliopisto,2017,4.8
49,Entrepreneurship,Lapin yliopisto,2017,2.0
50,Career benefit,Lappeenrannan-Lahden teknillinen yliopisto,2017,4.5
51,Learning & thinking skills,Lappeenrannan-Lahden teknillinen yliopisto,2017,4.8
52,Career benefit,Lappeenrannan-Lahden teknillinen yliopisto,2017,4.3
53,Learning & thinking skills,Lappeenrannan-Lahden teknillinen yliopisto,2017,4.8
54,Job challenge,Lappeenrannan-Lahden teknillinen yliopisto,2017,4.7
55,Career benefit,Lappeenrannan-Lahden teknillinen yliopisto,2017,4.8
56,Learning & thinking skills,Lappeenrannan-Lahden teknillinen yliopisto,2017,4.8
57,Interdisciplinary capability,Lappeenrannan-Lahden teknillinen yliopisto,2017,3.0
58,Self-directedness,Lappeenrannan-Lahden teknillinen yliopisto,2017,4.5
59,Entrepreneurship,Lappeenrannan-Lahden teknillinen yliopisto,2017,2.6
60,Career benefit,Oulun yliopisto,2017,4.4
61,Learning & thinking skills,Oulun yliopisto,2017,4.5
62,Career benefit,Oulun yliopisto,2017,3.9
63,Learning & thinking skills,Oulun yliopisto,2017,4.6
64,Job challenge,Oulun yliopisto,2017,4.7
65,Career benefit,Oulun yliopisto,2017,4.4
66,Learning & thinking skills,Oulun yliopisto,2017,4.8
67,Interdisciplinary capability,Oulun yliopisto,2017,2.9
68,Self-directedness,Oulun yliopisto,2017,4.4
69,Entrepreneurship,Oulun yliopisto,2017,1.8
70,Career benefit,Svenska handelshögskolan,2017,4.3
71,Learning & thinking skills,Svenska handelshögskolan,2017,4.7
72,Career benefit,Svenska handelshögskolan,2017,4.3
73,Learning & thinking skills,Svenska handelshögskolan,2017,4.3
74,Job challenge,Svenska handelshögskolan,2017,4.7
75,Career benefit,Svenska handelshögskolan,2017,5.0
76,Learning & thinking skills,Svenska handelshögskolan,2017,4.6
77,Interdisciplinary capability,Svenska handelshögskolan,2017,3.3
78,Self-directedness,Svenska handelshögskolan,2017,4.2
79,Entrepreneurship,Svenska handelshögskolan,2017,3.0
80,Career benefit,Taideyliopisto,2017,4.7
81,Learning & thinking skills,Taideyliopisto,2017,3.9
82,Career benefit,Taideyliopisto,2017,3.8
83,Learning & thinking skills,Taideyliopisto,2017,3.6
84,Job challenge,Taideyliopisto,2017,4.3
85,Career benefit,Taideyliopisto,2017,4.5
86,Learning & thinking skills,Taideyliopisto,2017,4.7
87,Interdisciplinary capability,Taideyliopisto,2017,3.6
88,Self-directedness,Taideyliopisto,2017,4.5
89,Entrepreneurship,Taideyliopisto,2017,1.8
90,Career benefit,Tampereen yliopisto,2017,4.5
91,Learning & thinking skills,Tampereen yliopisto,2017,4.8
92,Career benefit,Tampereen yliopisto,2017,4.0
93,Learning & thinking skills,Tampereen yliopisto,2017,4.8
94,Job challenge,Tampereen yliopisto,2017,4.7
95,Career benefit,Tampereen yliopisto,2017,4.6
96,Learning & thinking skills,Tampereen yliopisto,2017,4.8
97,Interdisciplinary capability,Tampereen yliopisto,2017,2.9
98,Self-directedness,Tampereen yliopisto,2017,4.6
99,Entrepreneurship,Tampereen yliopisto,2017,1.9
100,Career benefit,Turun yliopisto,2017,4.5
101,Learning & thinking skills,Turun yliopisto,2017,4.6
102,Career benefit,Turun yliopisto,2017,3.8
103,Learning & thinking skills,Turun yliopisto,2017,4.7
104,Job challenge,Turun yliopisto,2017,4.7
105,Career benefit,Turun yliopisto,2017,4.6
106,Learning & thinking skills,Turun yliopisto,2017,4.7
107,Interdisciplinary capability,Turun yliopisto,2017,3.0
108,Self-directedness,Turun yliopisto,2017,4.5
109,Entrepreneurship,Turun yliopisto,2017,1.8
110,Career benefit,Vaasan yliopisto,2017,4.2
111,Learning & thinking skills,Vaasan yliopisto,2017,4.4
112,Career benefit,Vaasan yliopisto,2017,4.1
113,Learning & thinking skills,Vaasan yliopisto,2017,4.8
114,Job challenge,Vaasan yliopisto,2017,4.3
115,Career benefit,Vaasan yliopisto,2017,4.6
116,Learning & thinking skills,Vaasan yliopisto,2017,4.7
117,Interdisciplinary capability,Vaasan yliopisto,2017,2.9
118,Self-directedness,Vaasan yliopisto,2017,4.5
119,Entrepreneurship,Vaasan yliopisto,2017,2.3
120,Career benefit,Åbo Akademi,2017,4.5
121,Learning & thinking skills,Åbo Akademi,2017,4.6
122,Career benefit,Åbo Akademi,2017,3.8
123,Learning & thinking skills,Åbo Akademi,2017,4.5
124,Job challenge,Åbo Akademi,2017,4.5
125,Career benefit,Åbo Akademi,2017,4.7
126,Learning & thinking skills,Åbo Akademi,2017,4.8
127,Interdisciplinary capability,Åbo Akademi,2017,3.5
128,Self-directedness,Åbo Akademi,2017,4.2
129,Entrepreneurship,Åbo Akademi,2017,2.0
130,Career benefit,Aalto-yliopisto,2018,4.6
131,Job challenge,Aalto-yliopisto,2018,4.8
132,Career benefit,Aalto-yliopisto,2018,4.2
133,,Aalto-yliopisto,2018,4.7
134,Learning & thinking skills,Aalto-yliopisto,2018,4.7
135,Career benefit,Aalto-yliopisto,2018,4.7
136,,Aalto-yliopisto,2018,4.9
137,Interdisciplinary capability,Aalto-yliopisto,2018,3.2
138,,Aalto-yliopisto,2018,4.4
139,,Aalto-yliopisto,2018,2.2
140,Career benefit,Helsingin yliopisto,2018,4.5
141,Job challenge,Helsingin yliopisto,2018,4.6
142,Career benefit,Helsingin yliopisto,2018,3.8
143,,Helsingin yliopisto,2018,4.7
144,Learning & thinking skills,Helsingin yliopisto,2018,4.7
145,Career benefit,Helsingin yliopisto,2018,4.4
146,,Helsingin yliopisto,2018,4.7
147,Interdisciplinary capability,Helsingin yliopisto,2018,3.0
148,,Helsingin yliopisto,2018,4.4
149,,Helsingin yliopisto,2018,1.7
150,Career benefit,Itä-Suomen yliopisto,2018,4.6
151,Job challenge,Itä-Suomen yliopisto,2018,4.7
152,Career benefit,Itä-Suomen yliopisto,2018,4.1
153,,Itä-Suomen yliopisto,2018,4.5
154,Learning & thinking skills,Itä-Suomen yliopisto,2018,4.7
155,Career benefit,Itä-Suomen yliopisto,2018,4.6
156,,Itä-Suomen yliopisto,2018,4.6
157,Interdisciplinary capability,Itä-Suomen yliopisto,2018,3.1
158,,Itä-Suomen yliopisto,2018,4.4
159,,Itä-Suomen yliopisto,2018,2.0
160,Career benefit,Jyväskylän yliopisto,2018,4.5
161,Job challenge,Jyväskylän yliopisto,2018,4.6
162,Career benefit,Jyväskylän yliopisto,2018,3.9
163,,Jyväskylän yliopisto,2018,4.6
164,Learning & thinking skills,Jyväskylän yliopisto,2018,4.7
165,Career benefit,Jyväskylän yliopisto,2018,4.5
166,,Jyväskylän yliopisto,2018,4.8
167,Interdisciplinary capability,Jyväskylän yliopisto,2018,3.2
168,,Jyväskylän yliopisto,2018,4.6
