,yliopisto,tilastovuosi,Tutkintotyyppi,lkm
0,Aalto-yliopisto,2015,Alempi korkeakoulututkinto,1662
1,Helsingin yliopisto,2015,Alempi korkeakoulututkinto,2826
2,Itä-Suomen yliopisto,2015,Alempi korkeakoulututkinto,1359
3,Jyväskylän yliopisto,2015,Alempi korkeakoulututkinto,1260
4,Lapin yliopisto,2015,Alempi korkeakoulututkinto,489
5,Lappeenrannan–Lahden teknillinen yliopisto,2015,Alempi korkeakoulututkinto,363
6,Oulun yliopisto,2015,Alempi korkeakoulututkinto,1437
7,Svenska handelshögskolan,2015,Alempi korkeakoulututkinto,249
8,Taideyliopisto,2015,Alempi korkeakoulututkinto,189
9,Tampereen yliopisto,2015,Alempi korkeakoulututkinto,2382
10,Turun yliopisto,2015,Alempi korkeakoulututkinto,1740
11,Vaasan yliopisto,2015,Alempi korkeakoulututkinto,474
12,Åbo Akademi,2015,Alempi korkeakoulututkinto,606
13,Aalto-yliopisto,2016,Alempi korkeakoulututkinto,1971
14,Helsingin yliopisto,2016,Alempi korkeakoulututkinto,2757
15,Itä-Suomen yliopisto,2016,Alempi korkeakoulututkinto,1395
16,Jyväskylän yliopisto,2016,Alempi korkeakoulututkinto,1212
17,Lapin yliopisto,2016,Alempi korkeakoulututkinto,471
18,Lappeenrannan–Lahden teknillinen yliopisto,2016,Alempi korkeakoulututkinto,372
19,Oulun yliopisto,2016,Alempi korkeakoulututkinto,1272
20,Svenska handelshögskolan,2016,Alempi korkeakoulututkinto,249
21,Taideyliopisto,2016,Alempi korkeakoulututkinto,180
22,Tampereen yliopisto,2016,Alempi korkeakoulututkinto,1671
23,Turun yliopisto,2016,Alempi korkeakoulututkinto,1605
24,Vaasan yliopisto,2016,Alempi korkeakoulututkinto,486
25,Åbo Akademi,2016,Alempi korkeakoulututkinto,648
26,Aalto-yliopisto,2017,Alempi korkeakoulututkinto,1179
27,Helsingin yliopisto,2017,Alempi korkeakoulututkinto,2910
28,Itä-Suomen yliopisto,2017,Alempi korkeakoulututkinto,1461
29,Jyväskylän yliopisto,2017,Alempi korkeakoulututkinto,1344
30,Lapin yliopisto,2017,Alempi korkeakoulututkinto,546
31,Lappeenrannan–Lahden teknillinen yliopisto,2017,Alempi korkeakoulututkinto,381
32,Oulun yliopisto,2017,Alempi korkeakoulututkinto,1254
33,Svenska handelshögskolan,2017,Alempi korkeakoulututkinto,255
34,Taideyliopisto,2017,Alempi korkeakoulututkinto,195
35,Tampereen yliopisto,2017,Alempi korkeakoulututkinto,1617
36,Turun yliopisto,2017,Alempi korkeakoulututkinto,1707
37,Vaasan yliopisto,2017,Alempi korkeakoulututkinto,501
38,Åbo Akademi,2017,Alempi korkeakoulututkinto,540
39,Aalto-yliopisto,2018,Alempi korkeakoulututkinto,1218
40,Helsingin yliopisto,2018,Alempi korkeakoulututkinto,2520
41,Itä-Suomen yliopisto,2018,Alempi korkeakoulututkinto,1434
42,Jyväskylän yliopisto,2018,Alempi korkeakoulututkinto,1221
43,Lapin yliopisto,2018,Alempi korkeakoulututkinto,486
44,Lappeenrannan–Lahden teknillinen yliopisto,2018,Alempi korkeakoulututkinto,378
45,Oulun yliopisto,2018,Alempi korkeakoulututkinto,1182
46,Svenska handelshögskolan,2018,Alempi korkeakoulututkinto,267
47,Taideyliopisto,2018,Alempi korkeakoulututkinto,168
48,Tampereen yliopisto,2018,Alempi korkeakoulututkinto,1725
49,Turun yliopisto,2018,Alempi korkeakoulututkinto,1689
50,Vaasan yliopisto,2018,Alempi korkeakoulututkinto,537
51,Åbo Akademi,2018,Alempi korkeakoulututkinto,642
52,Aalto-yliopisto,2019,Alempi korkeakoulututkinto,1341
53,Helsingin yliopisto,2019,Alempi korkeakoulututkinto,2898
54,Itä-Suomen yliopisto,2019,Alempi korkeakoulututkinto,1368
55,Jyväskylän yliopisto,2019,Alempi korkeakoulututkinto,1236
56,Lapin yliopisto,2019,Alempi korkeakoulututkinto,429
57,Lappeenrannan–Lahden teknillinen yliopisto,2019,Alempi korkeakoulututkinto,480
58,Oulun yliopisto,2019,Alempi korkeakoulututkinto,1152
59,Svenska handelshögskolan,2019,Alempi korkeakoulututkinto,264
60,Taideyliopisto,2019,Alempi korkeakoulututkinto,246
61,Tampereen yliopisto,2019,Alempi korkeakoulututkinto,1569
62,Turun yliopisto,2019,Alempi korkeakoulututkinto,1512
63,Vaasan yliopisto,2019,Alempi korkeakoulututkinto,468
64,Åbo Akademi,2019,Alempi korkeakoulututkinto,453
65,Aalto-yliopisto,2015,Ylempi korkeakoulututkinto,1968
66,Helsingin yliopisto,2015,Ylempi korkeakoulututkinto,2691
67,Itä-Suomen yliopisto,2015,Ylempi korkeakoulututkinto,1380
68,Jyväskylän yliopisto,2015,Ylempi korkeakoulututkinto,1485
69,Lapin yliopisto,2015,Ylempi korkeakoulututkinto,417
70,Lappeenrannan–Lahden teknillinen yliopisto,2015,Ylempi korkeakoulututkinto,597
71,Oulun yliopisto,2015,Ylempi korkeakoulututkinto,1245
72,Svenska handelshögskolan,2015,Ylempi korkeakoulututkinto,285
73,Taideyliopisto,2015,Ylempi korkeakoulututkinto,243
74,Tampereen yliopisto,2015,Ylempi korkeakoulututkinto,2280
75,Turun yliopisto,2015,Ylempi korkeakoulututkinto,1710
76,Vaasan yliopisto,2015,Ylempi korkeakoulututkinto,522
77,Åbo Akademi,2015,Ylempi korkeakoulututkinto,495
