yliopisto,tilastovuosi,Työllinen,"Päätoiminen opiskelija, koululainen",Työtön,Muut,Muuttanut maasta,Yhteensä
Aalto-yliopisto,2013,1404,30,54,90,120,1701
Helsingin yliopisto,2013,2352,87,159,168,138,2904
Itä-Suomen yliopisto,2013,1119,48,99,42,54,1359
Jyväskylän yliopisto,2013,1203,48,123,69,54,1497
Lapin yliopisto,2013,426,9,39,18,6,501
Lappeenrannan tekn. yliopisto,2013,477,9,48,27,42,603
Oulun yliopisto,2013,1131,60,123,51,48,1413
Svenska handelshögskolan,2013,207,2,6,21,27,264
Taideyliopisto,2013,201,9,30,15,12,267
Tampereen tekn. yliopisto,2013,654,12,39,30,45,783
Tampereen yliopisto,2013,1038,54,123,36,39,1287
Turun yliopisto,2013,1386,42,117,75,60,1680
Vaasan yliopisto,2013,360,12,18,21,21,432
Åbo Akademi,2013,360,12,18,24,48,462
Aalto-yliopisto,2014,1428,30,105,129,135,1827
Helsingin yliopisto,2014,2490,78,225,177,147,3117
Itä-Suomen yliopisto,2014,1155,42,114,45,39,1392
Jyväskylän yliopisto,2014,1254,39,159,81,57,1596
Lapin yliopisto,2014,369,15,48,21,6,462
Lappeenrannan tekn. yliopisto,2014,507,15,51,36,48,657
Oulun yliopisto,2014,1134,54,123,72,57,1440
Svenska handelshögskolan,2014,198,6,15,15,27,264
Taideyliopisto,2014,186,2,27,9,15,243
Tampereen tekn. yliopisto,2014,699,15,66,48,45,873
Tampereen yliopisto,2014,1020,39,114,42,30,1242
Turun yliopisto,2014,1407,54,165,81,57,1764
Vaasan yliopisto,2014,372,9,33,21,21,456
Åbo Akademi,2014,399,6,39,33,45,519
Aalto-yliopisto,2015,1410,33,117,126,162,1845
Helsingin yliopisto,2015,2394,69,270,174,156,3063
Itä-Suomen yliopisto,2015,1203,39,126,60,51,1479
Jyväskylän yliopisto,2015,1203,33,195,54,66,1548
Lapin yliopisto,2015,450,15,48,27,9,549
Lappeenrannan tekn. yliopisto,2015,492,9,54,30,54,636
Oulun yliopisto,2015,1173,42,174,75,69,1533
Svenska handelshögskolan,2015,219,2,12,21,42,294
Taideyliopisto,2015,186,6,42,15,15,264
Tampereen tekn. yliopisto,2015,726,15,60,48,48,894
Tampereen yliopisto,2015,1026,33,141,57,42,1299
Turun yliopisto,2015,1458,51,186,93,81,1869
Vaasan yliopisto,2015,372,15,30,30,24,468
Åbo Akademi,2015,417,12,36,30,72,570
Aalto-yliopisto,2016,1695,24,141,153,171,2181
Helsingin yliopisto,2016,2496,81,252,186,159,3174
Itä-Suomen yliopisto,2016,1200,45,123,54,69,1491
Jyväskylän yliopisto,2016,1260,30,153,69,78,1590
Lapin yliopisto,2016,330,12,51,30,9,432
Lappeenrannan tekn. yliopisto,2016,486,9,39,33,72,636
Oulun yliopisto,2016,1104,36,138,57,57,1392
Svenska handelshögskolan,2016,219,6,15,12,39,291
Taideyliopisto,2016,180,2,48,15,15,258
Tampereen tekn. yliopisto,2016,732,18,54,36,51,891
Tampereen yliopisto,2016,1224,36,177,72,51,1563
Turun yliopisto,2016,1437,51,177,87,78,1830
Vaasan yliopisto,2016,426,12,39,24,36,537
Åbo Akademi,2016,378,15,45,30,66,534
Aalto-yliopisto,2017,1791,21,87,132,192,2223
Helsingin yliopisto,2017,2541,72,180,192,168,3150
Itä-Suomen yliopisto,2017,1266,30,87,66,75,1524
Jyväskylän yliopisto,2017,1269,33,144,75,105,1626
Lapin yliopisto,2017,360,2,48,18,9,438
Lappeenrannan tekn. yliopisto,2017,480,6,24,30,63,603
Oulun yliopisto,2017,1302,42,111,90,66,1611
Svenska handelshögskolan,2017,210,2,6,12,36,267
Taideyliopisto,2017,204,6,42,18,12,282
Tampereen tekn. yliopisto,2017,774,6,39,45,54,915
Tampereen yliopisto,2017,1035,21,75,42,42,1215
Turun yliopisto,2017,1515,48,102,78,93,1836
Vaasan yliopisto,2017,456,6,27,36,33,558
Åbo Akademi,2017,420,12,30,33,75,570
