yliopisto,JUFO-taso,tilastovuosi,lkm
Aalto-yliopisto,0,2018,232
Helsingin yliopisto,0,2018,436
Itä-Suomen yliopisto,0,2018,103
Jyväskylän yliopisto,0,2018,95
Lapin yliopisto,0,2018,36
Lappeenrannan-Lahden teknillinen yliopisto,0,2018,65
Oulun yliopisto,0,2018,98
Svenska handelshögskolan,0,2018,12
Taideyliopisto,0,2018,9
Tampereen yliopisto,0,2018,191
Turun yliopisto,0,2018,237
Vaasan yliopisto,0,2018,26
Åbo Akademi,0,2018,75
Aalto-yliopisto,1,2018,"1,901"
Helsingin yliopisto,1,2018,"4,461"
Itä-Suomen yliopisto,1,2018,"1,397"
Jyväskylän yliopisto,1,2018,"1,109"
Lapin yliopisto,1,2018,222
Lappeenrannan-Lahden teknillinen yliopisto,1,2018,511
Oulun yliopisto,1,2018,"1,554"
Svenska handelshögskolan,1,2018,98
Taideyliopisto,1,2018,43
Tampereen yliopisto,1,2018,"2,226"
Turun yliopisto,1,2018,"2,029"
Vaasan yliopisto,1,2018,196
Åbo Akademi,1,2018,543
Aalto-yliopisto,2,2018,796
Helsingin yliopisto,2,2018,"1,791"
Itä-Suomen yliopisto,2,2018,502
Jyväskylän yliopisto,2,2018,549
Lapin yliopisto,2,2018,76
Lappeenrannan-Lahden teknillinen yliopisto,2,2018,242
Oulun yliopisto,2,2018,588
Svenska handelshögskolan,2,2018,48
Taideyliopisto,2,2018,14
Tampereen yliopisto,2,2018,672
Turun yliopisto,2,2018,803
Vaasan yliopisto,2,2018,62
Åbo Akademi,2,2018,223
Aalto-yliopisto,3,2018,352
Helsingin yliopisto,3,2018,939
Itä-Suomen yliopisto,3,2018,218
Jyväskylän yliopisto,3,2018,215
Lapin yliopisto,3,2018,42
Lappeenrannan-Lahden teknillinen yliopisto,3,2018,90
Oulun yliopisto,3,2018,231
Svenska handelshögskolan,3,2018,28
Taideyliopisto,3,2018,16
Tampereen yliopisto,3,2018,343
Turun yliopisto,3,2018,387
Vaasan yliopisto,3,2018,34
Åbo Akademi,3,2018,81
Aalto-yliopisto,0,2017,315
Helsingin yliopisto,0,2017,473
Itä-Suomen yliopisto,0,2017,146
Jyväskylän yliopisto,0,2017,128
Lapin yliopisto,0,2017,59
Lappeenrannan-Lahden teknillinen yliopisto,0,2017,123
Oulun yliopisto,0,2017,179
Svenska handelshögskolan,0,2017,20
Taideyliopisto,0,2017,20
Tampereen yliopisto,0,2017,258
Turun yliopisto,0,2017,228
Vaasan yliopisto,0,2017,35
Åbo Akademi,0,2017,102
Aalto-yliopisto,1,2017,"1,792"
Helsingin yliopisto,1,2017,"4,378"
Itä-Suomen yliopisto,1,2017,"1,405"
Jyväskylän yliopisto,1,2017,"1,133"
Lapin yliopisto,1,2017,200
Lappeenrannan-Lahden teknillinen yliopisto,1,2017,510
Oulun yliopisto,1,2017,"1,511"
Svenska handelshögskolan,1,2017,110
Taideyliopisto,1,2017,58
Tampereen yliopisto,1,2017,"2,191"
Turun yliopisto,1,2017,"1,974"
Vaasan yliopisto,1,2017,151
Åbo Akademi,1,2017,512
Aalto-yliopisto,2,2017,831
Helsingin yliopisto,2,2017,"1,974"
Itä-Suomen yliopisto,2,2017,539
Jyväskylän yliopisto,2,2017,573
Lapin yliopisto,2,2017,86
Lappeenrannan-Lahden teknillinen yliopisto,2,2017,191
Oulun yliopisto,2,2017,576
Svenska handelshögskolan,2,2017,52
Taideyliopisto,2,2017,11
Tampereen yliopisto,2,2017,791
Turun yliopisto,2,2017,823
Vaasan yliopisto,2,2017,54
Åbo Akademi,2,2017,290
Aalto-yliopisto,3,2017,303
Helsingin yliopisto,3,2017,906
Itä-Suomen yliopisto,3,2017,225
Jyväskylän yliopisto,3,2017,222
Lapin yliopisto,3,2017,12
Lappeenrannan-Lahden teknillinen yliopisto,3,2017,55
Oulun yliopisto,3,2017,223
Svenska handelshögskolan,3,2017,26
Taideyliopisto,3,2017,9
Tampereen yliopisto,3,2017,309
Turun yliopisto,3,2017,337
Vaasan yliopisto,3,2017,41
