väittämä,yliopisto,tilastovuosi,Vastaajamäärä (maisterit),Keskiarvo (maisterit),Pisteet (maisterit)
a) Pystyn hyödyntämään yliopistossa oppimiani tietoja ja taitoja nykyisessä työssäni hyvin.,Aalto-yliopisto,2017,525,4.6,2430
"3)  analyyttiset, systemaattisen ajattelun taidot",Aalto-yliopisto,2017,516,4.8,409
d)  Koulutus antoi riittävät valmiudet työelämään.,Aalto-yliopisto,2017,532,4.1,2204
4)  tiedonhankintataidot,Aalto-yliopisto,2017,518,4.6,401
b) Työni vastaa vaativuustasoltaan hyvin yliopistollista koulutustani.,Aalto-yliopisto,2017,524,4.9,2592
4.  Miten tyytyväinen olet kokonaisuudessaan vuonna 2012 suorittamaasi tutkintoon työurasi kannalta?,Aalto-yliopisto,2017,532,4.7,2509
21)  kyky oppia ja omaksua uutta,Aalto-yliopisto,2017,511,4.9,414
23)  tieteiden- tai taiteidenvälisyys/moniammatillisissa ryhmissä toimiminen,Aalto-yliopisto,2017,514,3.1,270
26)  itseohjautuvuus/oma-aloitteisuus,Aalto-yliopisto,2017,512,4.5,382
27)  yrittäjyystaidot,Aalto-yliopisto,2017,506,2.1,173
19.  Arvioi vuonna 2012 suorittamaasi tutkintoa ja nykyistä työtäsi. Valitse sopivin vaihtoehto seuraaviin väitteisiin:  a) Pystyn hyödyntämään yliopistossa oppimiani tietoja ja taitoja nykyisessä työssäni hyvin.,Helsingin yliopisto,2017,1077,4.6,4954
"3)  analyyttiset, systemaattisen ajattelun taidot",Helsingin yliopisto,2017,1074,4.8,852
d)  Koulutus antoi riittävät valmiudet työelämään.,Helsingin yliopisto,2017,1103,3.9,4263
4)  tiedonhankintataidot,Helsingin yliopisto,2017,1073,4.7,841
b) Työni vastaa vaativuustasoltaan hyvin yliopistollista koulutustani.,Helsingin yliopisto,2017,1071,4.7,5023
4.  Miten tyytyväinen olet kokonaisuudessaan vuonna 2012 suorittamaasi tutkintoon työurasi kannalta?,Helsingin yliopisto,2017,1102,4.5,4922
21)  kyky oppia ja omaksua uutta,Helsingin yliopisto,2017,1069,4.8,858
23)  tieteiden- tai taiteidenvälisyys/moniammatillisissa ryhmissä toimiminen,Helsingin yliopisto,2017,1071,3,538
26)  itseohjautuvuus/oma-aloitteisuus,Helsingin yliopisto,2017,1073,4.5,799
27)  yrittäjyystaidot,Helsingin yliopisto,2017,1062,1.7,294
a) Pystyn hyödyntämään yliopistossa oppimiani tietoja ja taitoja nykyisessä työssäni hyvin.,Helsingin yliopisto,2017,525,4.5,2385
"3)  analyyttiset, systemaattisen ajattelun taidot",Helsingin yliopisto,2017,532,4.6,405
d)  Koulutus antoi riittävät valmiudet työelämään.,Helsingin yliopisto,2017,540,4,2181
4)  tiedonhankintataidot,Helsingin yliopisto,2017,529,4.8,421
b) Työni vastaa vaativuustasoltaan hyvin yliopistollista koulutustani.,Helsingin yliopisto,2017,525,4.6,2400
4.  Miten tyytyväinen olet kokonaisuudessaan vuonna 2012 suorittamaasi tutkintoon työurasi kannalta?,Helsingin yliopisto,2017,542,4.5,2462
21)  kyky oppia ja omaksua uutta,Helsingin yliopisto,2017,526,4.7,411
23)  tieteiden- tai taiteidenvälisyys/moniammatillisissa ryhmissä toimiminen,Helsingin yliopisto,2017,527,3,260
26)  itseohjautuvuus/oma-aloitteisuus,Helsingin yliopisto,2017,530,4.4,389
27)  yrittäjyystaidot,Helsingin yliopisto,2017,527,1.8,159
a) Pystyn hyödyntämään yliopistossa oppimiani tietoja ja taitoja nykyisessä työssäni hyvin.,Jyväskylän yliopisto,2017,540,4.5,2440
"3)  analyyttiset, systemaattisen ajattelun taidot",Jyväskylän yliopisto,2017,551,4.6,418
d)  Koulutus antoi riittävät valmiudet työelämään.,Jyväskylän yliopisto,2017,556,3.9,2143
4)  tiedonhankintataidot,Jyväskylän yliopisto,2017,551,4.7,431
b) Työni vastaa vaativuustasoltaan hyvin yliopistollista koulutustani.,Jyväskylän yliopisto,2017,540,4.6,2471
4.  Miten tyytyväinen olet kokonaisuudessaan vuonna 2012 suorittamaasi tutkintoon työurasi kannalta?,Jyväskylän yliopisto,2017,558,4.5,2532
21)  kyky oppia ja omaksua uutta,Jyväskylän yliopisto,2017,547,4.7,431
23)  tieteiden- tai taiteidenvälisyys/moniammatillisissa ryhmissä toimiminen,Jyväskylän yliopisto,2017,548,3.1,285
26)  itseohjautuvuus/oma-aloitteisuus,Jyväskylän yliopisto,2017,551,4.7,430
27)  yrittäjyystaidot,Jyväskylän yliopisto,2017,545,1.9,173
a) Pystyn hyödyntämään yliopistossa oppimiani tietoja ja taitoja nykyisessä työssäni hyvin.,Lapin yliopisto,2017,172,4.7,807
"3)  analyyttiset, systemaattisen ajattelun taidot",Lapin yliopisto,2017,170,4.4,125
d)  Koulutus antoi riittävät valmiudet työelämään.,Lapin yliopisto,2017,175,3.9,688
4)  tiedonhankintataidot,Lapin yliopisto,2017,170,4.6,130
b) Työni vastaa vaativuustasoltaan hyvin yliopistollista koulutustani.,Lapin yliopisto,2017,171,4.7,810
4.  Miten tyytyväinen olet kokonaisuudessaan vuonna 2012 suorittamaasi tutkintoon työurasi kannalta?,Lapin yliopisto,2017,175,4.5,794
21)  kyky oppia ja omaksua uutta,Lapin yliopisto,2017,169,4.6,128
23)  tieteiden- tai taiteidenvälisyys/moniammatillisissa ryhmissä toimiminen,Lapin yliopisto,2017,166,2.9,81
26)  itseohjautuvuus/oma-aloitteisuus,Lapin yliopisto,2017,169,4.8,134
27)  yrittäjyystaidot,Lapin yliopisto,2017,169,2,57
19.  Arvioi vuonna 2012 suorittamaasi tutkintoa ja nykyistä työtäsi. Valitse sopivin vaihtoehto seuraaviin väitteisiin:  a) Pystyn hyödyntämään yliopistossa oppimiani tietoja ja taitoja nykyisessä työssäni hyvin.,Lappeenrannan-Lahden teknillinen yliopisto,2017,216,4.5,963
"3)  analyyttiset, systemaattisen ajattelun taidot",Lappeenrannan-Lahden teknillinen yliopisto,2017,218,4.8,173
d)  Koulutus antoi riittävät valmiudet työelämään.,Lappeenrannan-Lahden teknillinen yliopisto,2017,225,4.3,973
4)  tiedonhankintataidot,Lappeenrannan-Lahden teknillinen yliopisto,2017,219,4.8,176
b) Työni vastaa vaativuustasoltaan hyvin yliopistollista koulutustani.,Lappeenrannan-Lahden teknillinen yliopisto,2017,217,4.7,1014
4.  Miten tyytyväinen olet kokonaisuudessaan vuonna 2012 suorittamaasi tutkintoon työurasi kannalta?,Lappeenrannan-Lahden teknillinen yliopisto,2017,225,4.8,1083
21)  kyky oppia ja omaksua uutta,Lappeenrannan-Lahden teknillinen yliopisto,2017,218,4.8,175
23)  tieteiden- tai taiteidenvälisyys/moniammatillisissa ryhmissä toimiminen,Lappeenrannan-Lahden teknillinen yliopisto,2017,218,3,110
26)  itseohjautuvuus/oma-aloitteisuus,Lappeenrannan-Lahden teknillinen yliopisto,2017,218,4.5,163
27)  yrittäjyystaidot,Lappeenrannan-Lahden teknillinen yliopisto,2017,217,2.6,94
a) Pystyn hyödyntämään yliopistossa oppimiani tietoja ja taitoja nykyisessä työssäni hyvin.,Oulun yliopisto,2017,454,4.4,2019
"3)  analyyttiset, systemaattisen ajattelun taidot",Oulun yliopisto,2017,454,4.5,341
d)  Koulutus antoi riittävät valmiudet työelämään.,Oulun yliopisto,2017,468,3.9,1829
4)  tiedonhankintataidot,Oulun yliopisto,2017,454,4.6,351
b) Työni vastaa vaativuustasoltaan hyvin yliopistollista koulutustani.,Oulun yliopisto,2017,454,4.7,2156
4.  Miten tyytyväinen olet kokonaisuudessaan vuonna 2012 suorittamaasi tutkintoon työurasi kannalta?,Oulun yliopisto,2017,468,4.4,2075
21)  kyky oppia ja omaksua uutta,Oulun yliopisto,2017,452,4.8,358
23)  tieteiden- tai taiteidenvälisyys/moniammatillisissa ryhmissä toimiminen,Oulun yliopisto,2017,454,2.9,220
26)  itseohjautuvuus/oma-aloitteisuus,Oulun yliopisto,2017,456,4.4,337
27)  yrittäjyystaidot,Oulun yliopisto,2017,454,1.8,136
a) Pystyn hyödyntämään yliopistossa oppimiani tietoja ja taitoja nykyisessä työssäni hyvin.,Svenska handelshögskolan,2017,102,4.3,437
"3)  analyyttiset, systemaattisen ajattelun taidot",Svenska handelshögskolan,2017,101,4.7,80
d)  Koulutus antoi riittävät valmiudet työelämään.,Svenska handelshögskolan,2017,100,4.3,427
4)  tiedonhankintataidot,Svenska handelshögskolan,2017,100,4.3,71
b) Työni vastaa vaativuustasoltaan hyvin yliopistollista koulutustani.,Svenska handelshögskolan,2017,102,4.7,475
4.  Miten tyytyväinen olet kokonaisuudessaan vuonna 2012 suorittamaasi tutkintoon työurasi kannalta?,Svenska handelshögskolan,2017,102,5,508
21)  kyky oppia ja omaksua uutta,Svenska handelshögskolan,2017,100,4.6,77
23)  tieteiden- tai taiteidenvälisyys/moniammatillisissa ryhmissä toimiminen,Svenska handelshögskolan,2017,100,3.3,55
26)  itseohjautuvuus/oma-aloitteisuus,Svenska handelshögskolan,2017,100,4.2,70
27)  yrittäjyystaidot,Svenska handelshögskolan,2017,92,3,46
a) Pystyn hyödyntämään yliopistossa oppimiani tietoja ja taitoja nykyisessä työssäni hyvin.,Taideyliopisto,2017,76,4.7,354
